,sto_loc,LU,GMRES
0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],,1
1,"[ 0.0078125  0.0859375  0.0234375 -0.4921875  0.1953125  0.3046875
 -0.4296875 -0.2265625 -0.3359375  0.4921875]",,4
2,"[-0.0078125 -0.0859375 -0.0234375  0.4921875 -0.1953125 -0.3046875
  0.4296875  0.2265625  0.3359375 -0.4921875]",,4
3,"[-0.015625 -0.171875 -0.046875 -0.015625 -0.390625  0.390625 -0.140625
  0.453125 -0.328125  0.015625]",,5
4,"[ 0.015625  0.171875  0.046875  0.015625  0.390625 -0.390625  0.140625
 -0.453125  0.328125 -0.015625]",,4
5,"[-0.04296875  0.02734375  0.37109375  0.20703125  0.42578125  0.32421875
 -0.13671875 -0.25390625  0.34765625  0.29296875]",,5
6,"[ 0.04296875 -0.02734375 -0.37109375 -0.20703125 -0.42578125 -0.32421875
  0.13671875  0.25390625 -0.34765625 -0.29296875]",,5
7,"[-0.05078125 -0.05859375  0.34765625 -0.30078125  0.23046875  0.01953125
  0.29296875 -0.02734375 -0.31640625 -0.19921875]",,4
8,"[ 0.05078125  0.05859375 -0.34765625  0.30078125 -0.23046875 -0.01953125
 -0.29296875  0.02734375  0.31640625  0.19921875]",,4
9,"[ 0.03125  0.34375  0.09375  0.03125 -0.21875  0.21875  0.28125  0.09375
 -0.34375 -0.03125]",,5
10,"[-0.03125 -0.34375 -0.09375 -0.03125  0.21875 -0.21875 -0.28125 -0.09375
  0.34375  0.03125]",,5
11,"[-0.02734375  0.19921875  0.41796875  0.22265625 -0.18359375 -0.06640625
  0.00390625  0.29296875 -0.32421875  0.27734375]",,5
12,"[ 0.02734375 -0.19921875 -0.41796875 -0.22265625  0.18359375  0.06640625
 -0.00390625 -0.29296875  0.32421875 -0.27734375]",,5
13,"[-0.0234375 -0.2578125 -0.0703125  0.4765625  0.4140625  0.0859375
  0.2890625 -0.3203125  0.0078125 -0.4765625]",,5
14,"[ 0.0234375  0.2578125  0.0703125 -0.4765625 -0.4140625 -0.0859375
 -0.2890625  0.3203125 -0.0078125  0.4765625]",,5
15,"[-0.078125  0.140625 -0.234375 -0.078125  0.046875 -0.046875  0.296875
  0.265625  0.359375  0.078125]",,5
16,"[ 0.078125 -0.140625  0.234375  0.078125 -0.046875  0.046875 -0.296875
 -0.265625 -0.359375 -0.078125]",,4
17,"[ 0.05859375  0.14453125 -0.32421875 -0.19140625 -0.03515625  0.28515625
  0.27734375 -0.19921875 -0.01953125 -0.30859375]",,5
18,"[-0.05859375 -0.14453125  0.32421875  0.19140625  0.03515625 -0.28515625
 -0.27734375  0.19921875  0.01953125  0.30859375]",,5
19,"[ 0.03515625 -0.11328125 -0.39453125  0.28515625  0.37890625  0.37109375
 -0.43359375  0.48046875 -0.01171875  0.21484375]",,4
20,"[-0.03515625  0.11328125  0.39453125 -0.28515625 -0.37890625 -0.37109375
  0.43359375 -0.48046875  0.01171875 -0.21484375]",,4
21,"[-0.09375 -0.03125 -0.28125 -0.09375 -0.34375  0.34375  0.15625 -0.28125
  0.03125  0.09375]",,5
22,"[ 0.09375  0.03125  0.28125  0.09375  0.34375 -0.34375 -0.15625  0.28125
 -0.03125 -0.09375]",,5
23,"[-0.01953125  0.28515625  0.44140625 -0.26953125  0.01171875  0.23828125
 -0.42578125  0.06640625  0.33984375 -0.23046875]",,5
