,sto_loc,LU,GMRES
0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],True,1
1,"[ 0.0078125  0.0859375  0.0234375 -0.4921875  0.1953125  0.3046875
 -0.4296875 -0.2265625 -0.3359375  0.4921875]",False,4
2,"[-0.0078125 -0.0859375 -0.0234375  0.4921875 -0.1953125 -0.3046875
  0.4296875  0.2265625  0.3359375 -0.4921875]",False,4
3,"[-0.015625 -0.171875 -0.046875 -0.015625 -0.390625  0.390625 -0.140625
  0.453125 -0.328125  0.015625]",False,5
4,"[ 0.015625  0.171875  0.046875  0.015625  0.390625 -0.390625  0.140625
 -0.453125  0.328125 -0.015625]",False,4
5,"[-0.04296875  0.02734375  0.37109375  0.20703125  0.42578125  0.32421875
 -0.13671875 -0.25390625  0.34765625  0.29296875]",False,5
6,"[ 0.04296875 -0.02734375 -0.37109375 -0.20703125 -0.42578125 -0.32421875
  0.13671875  0.25390625 -0.34765625 -0.29296875]",False,5
7,"[-0.05078125 -0.05859375  0.34765625 -0.30078125  0.23046875  0.01953125
  0.29296875 -0.02734375 -0.31640625 -0.19921875]",False,4
8,"[ 0.05078125  0.05859375 -0.34765625  0.30078125 -0.23046875 -0.01953125
 -0.29296875  0.02734375  0.31640625  0.19921875]",False,4
9,"[ 0.03125  0.34375  0.09375  0.03125 -0.21875  0.21875  0.28125  0.09375
 -0.34375 -0.03125]",False,5
10,"[-0.03125 -0.34375 -0.09375 -0.03125  0.21875 -0.21875 -0.28125 -0.09375
  0.34375  0.03125]",False,5
11,"[-0.02734375  0.19921875  0.41796875  0.22265625 -0.18359375 -0.06640625
  0.00390625  0.29296875 -0.32421875  0.27734375]",False,5
12,"[ 0.02734375 -0.19921875 -0.41796875 -0.22265625  0.18359375  0.06640625
 -0.00390625 -0.29296875  0.32421875 -0.27734375]",False,5
13,"[-0.0234375 -0.2578125 -0.0703125  0.4765625  0.4140625  0.0859375
  0.2890625 -0.3203125  0.0078125 -0.4765625]",False,5
14,"[ 0.0234375  0.2578125  0.0703125 -0.4765625 -0.4140625 -0.0859375
 -0.2890625  0.3203125 -0.0078125  0.4765625]",False,5
15,"[-0.078125  0.140625 -0.234375 -0.078125  0.046875 -0.046875  0.296875
  0.265625  0.359375  0.078125]",False,5
16,"[ 0.078125 -0.140625  0.234375  0.078125 -0.046875  0.046875 -0.296875
 -0.265625 -0.359375 -0.078125]",False,4
17,"[ 0.05859375  0.14453125 -0.32421875 -0.19140625 -0.03515625  0.28515625
  0.27734375 -0.19921875 -0.01953125 -0.30859375]",False,5
18,"[-0.05859375 -0.14453125  0.32421875  0.19140625  0.03515625 -0.28515625
 -0.27734375  0.19921875  0.01953125  0.30859375]",False,5
19,"[ 0.03515625 -0.11328125 -0.39453125  0.28515625  0.37890625  0.37109375
 -0.43359375  0.48046875 -0.01171875  0.21484375]",False,4
20,"[-0.03515625  0.11328125  0.39453125 -0.28515625 -0.37890625 -0.37109375
  0.43359375 -0.48046875  0.01171875 -0.21484375]",False,4
21,"[-0.09375 -0.03125 -0.28125 -0.09375 -0.34375  0.34375  0.15625 -0.28125
  0.03125  0.09375]",False,5
22,"[ 0.09375  0.03125  0.28125  0.09375  0.34375 -0.34375 -0.15625  0.28125
 -0.03125 -0.09375]",False,5
23,"[-0.01953125  0.28515625  0.44140625 -0.26953125  0.01171875  0.23828125
 -0.42578125  0.06640625  0.33984375 -0.23046875]",False,5
24,"[ 0.01953125 -0.28515625 -0.44140625  0.26953125 -0.01171875 -0.23828125
  0.42578125 -0.06640625 -0.33984375  0.23046875]",False,5
25,"[-0.13671875 -0.00390625  0.08984375  0.11328125  0.08203125 -0.33203125
  0.01953125  0.46484375  0.37890625  0.38671875]",False,5
26,"[ 0.13671875  0.00390625 -0.08984375 -0.11328125 -0.08203125  0.33203125
 -0.01953125 -0.46484375 -0.37890625 -0.38671875]",False,5
27,"[-0.0859375  0.0546875 -0.2578125  0.4140625 -0.1484375 -0.3515625
 -0.2734375  0.4921875 -0.3046875 -0.4140625]",False,5
28,"[ 0.0859375 -0.0546875  0.2578125 -0.4140625  0.1484375  0.3515625
  0.2734375 -0.4921875  0.3046875  0.4140625]",False,5
29,"[-0.01171875  0.37109375  0.46484375  0.23828125  0.20703125 -0.45703125
  0.14453125 -0.16015625  0.00390625  0.26171875]",True,1
30,"[-0.00390625  0.45703125  0.48828125 -0.25390625  0.40234375 -0.15234375
 -0.28515625 -0.38671875 -0.33203125 -0.24609375]",False,4
31,"[ 0.0390625  0.4296875  0.1171875 -0.4609375 -0.0234375 -0.4765625
 -0.1484375 -0.1328125  0.3203125  0.4609375]",False,5
32,"[-0.10546875  0.33984375  0.18359375  0.14453125 -0.13671875 -0.11328125
  0.30078125 -0.44140625  0.03515625  0.35546875]",False,5
33,"[-0.0625  0.3125 -0.1875 -0.0625  0.4375 -0.4375  0.4375 -0.1875 -0.3125
  0.0625]",True,1
34,"[-0.0703125  0.2265625 -0.2109375  0.4296875  0.2421875  0.2578125
 -0.1328125  0.0390625  0.0234375 -0.4296875]",False,4
35,"[-0.0546875  0.3984375 -0.1640625  0.4453125 -0.3671875 -0.1328125
  0.0078125 -0.4140625  0.3515625 -0.4453125]",False,4
36,"[-0.046875  0.484375 -0.140625 -0.046875 -0.171875  0.171875 -0.421875
  0.359375  0.015625  0.046875]",False,4
37,"[-0.140625  0.453125 -0.421875 -0.140625  0.484375 -0.484375 -0.265625
  0.078125  0.046875  0.140625]",False,5
38,"[-0.12109375  0.16796875  0.13671875  0.12890625  0.47265625  0.27734375
  0.16015625  0.01171875 -0.29296875  0.37109375]",False,5
39,"[-0.11328125  0.25390625  0.16015625 -0.36328125 -0.33203125 -0.41796875
 -0.26953125 -0.21484375  0.37109375 -0.13671875]",False,5
40,"[-0.09765625  0.42578125  0.20703125 -0.34765625  0.05859375  0.19140625
 -0.12890625  0.33203125 -0.30078125 -0.15234375]",False,4
41,"[-0.15625  0.28125 -0.46875 -0.15625  0.09375 -0.09375 -0.40625 -0.46875
 -0.28125  0.15625]",False,5
42,"[ 0.07421875  0.31640625 -0.27734375 -0.17578125  0.35546875 -0.10546875
  0.41796875  0.34765625  0.30859375 -0.32421875]",False,5
43,"[-0.1484375  0.3671875 -0.4453125  0.3515625  0.2890625  0.2109375
  0.1640625  0.3046875  0.3828125 -0.3515625]",False,5
44,"[ 0.06640625  0.23046875 -0.30078125  0.31640625  0.16015625 -0.41015625
 -0.15234375 -0.42578125 -0.35546875  0.18359375]",False,5
45,"[-0.109375 -0.203125 -0.328125 -0.109375  0.265625 -0.265625  0.015625
  0.171875 -0.296875  0.109375]",True,1
46,"[-0.1015625 -0.1171875 -0.3046875  0.3984375  0.4609375  0.0390625
 -0.4140625 -0.0546875  0.3671875 -0.3984375]",False,4
47,[-0.125 -0.375 -0.375 -0.125 -0.125  0.125 -0.125 -0.375  0.375  0.125],False,4
48,"[-0.1171875 -0.2890625 -0.3515625  0.3828125  0.0703125  0.4296875
  0.4453125  0.3984375  0.0390625 -0.3828125]",False,4
49,"[-0.16015625 -0.26171875  0.01953125 -0.41015625  0.49609375 -0.24609375
  0.30859375  0.14453125  0.38671875 -0.08984375]",False,4
50,"[-0.15234375 -0.17578125  0.04296875  0.09765625 -0.30859375  0.05859375
 -0.12109375 -0.08203125  0.05078125  0.40234375]",False,4
51,"[-0.1328125 -0.4609375 -0.3984375  0.3671875 -0.3203125 -0.1796875
  0.3046875 -0.1484375 -0.2890625 -0.3671875]",False,5
52,"[-0.16796875 -0.34765625 -0.00390625  0.08203125  0.30078125  0.44921875
 -0.26171875  0.37109375 -0.27734375  0.41796875]",False,5
53,"[-0.08203125 -0.40234375  0.25390625 -0.33203125  0.44921875 -0.19921875
  0.01171875 -0.12109375  0.02734375 -0.16796875]",False,4
54,"[-0.14453125 -0.08984375  0.06640625 -0.39453125 -0.11328125  0.36328125
  0.44921875 -0.30859375 -0.28515625 -0.10546875]",False,4
55,"[-0.12890625  0.08203125  0.11328125 -0.37890625  0.27734375 -0.02734375
 -0.41015625  0.23828125  0.04296875 -0.12109375]",False,5
56,"[-0.06640625 -0.23046875  0.30078125 -0.31640625 -0.16015625  0.41015625
  0.15234375  0.42578125  0.35546875 -0.18359375]",False,5
57,"[-0.24609375 -0.20703125 -0.23828125  0.00390625  0.34765625  0.40234375
  0.03515625 -0.36328125  0.08203125  0.49609375]",False,5
58,"[-0.07421875 -0.31640625  0.27734375  0.17578125 -0.35546875  0.10546875
 -0.41796875 -0.34765625 -0.30859375  0.32421875]",False,5
59,"[-0.08984375 -0.48828125  0.23046875  0.16015625  0.25390625  0.49609375
  0.44140625  0.10546875  0.36328125  0.33984375]",False,5
60,"[-0.17578125 -0.43359375 -0.02734375 -0.42578125  0.10546875  0.14453125
  0.16796875 -0.40234375  0.05859375 -0.07421875]",False,5
61,"[-0.203125 -0.234375  0.390625 -0.203125 -0.078125  0.078125  0.171875
 -0.109375 -0.265625  0.203125]",False,5
62,"[-0.1875 -0.0625  0.4375 -0.1875  0.3125 -0.3125  0.3125  0.4375  0.0625
  0.1875]",False,5
63,"[-0.0390625 -0.4296875 -0.1171875  0.4609375  0.0234375  0.4765625
  0.1484375  0.1328125 -0.3203125 -0.4609375]",False,5
64,"[-0.23828125 -0.12109375 -0.21484375 -0.48828125 -0.45703125 -0.29296875
 -0.39453125  0.41015625 -0.25390625 -0.01171875]",False,5
65,"[-0.23046875 -0.03515625 -0.19140625  0.01953125 -0.26171875  0.01171875
  0.17578125  0.18359375  0.41015625  0.48046875]",False,5
66,"[-0.26171875 -0.37890625 -0.28515625 -0.01171875 -0.04296875 -0.20703125
 -0.10546875  0.08984375 -0.24609375 -0.48828125]",True,1
67,"[-0.25390625 -0.29296875 -0.26171875  0.49609375  0.15234375  0.09765625
  0.46484375 -0.13671875  0.41796875  0.00390625]",False,4
68,"[-0.26953125 -0.46484375 -0.30859375  0.48046875 -0.23828125  0.48828125
  0.32421875  0.31640625  0.08984375  0.01953125]",False,4
69,"[-0.3046875 -0.3515625  0.0859375  0.1953125  0.3828125  0.1171875
 -0.2421875 -0.1640625  0.1015625 -0.1953125]",False,5
70,"[-0.3125 -0.4375  0.0625 -0.3125  0.1875 -0.1875  0.1875  0.0625  0.4375
  0.3125]",False,5
71,"[-0.2890625 -0.1796875  0.1328125  0.2109375 -0.2265625 -0.2734375
 -0.1015625  0.3828125  0.4296875 -0.2109375]",False,5
72,"[-0.2109375 -0.3203125  0.3671875  0.2890625 -0.2734375 -0.2265625
 -0.3984375  0.1171875  0.0703125 -0.2890625]",False,5
73,"[-0.296875 -0.265625  0.109375 -0.296875 -0.421875  0.421875  0.328125
 -0.390625 -0.234375  0.296875]",False,4
74,"[-0.28125 -0.09375  0.15625 -0.28125 -0.03125  0.03125  0.46875  0.15625
  0.09375  0.28125]",False,5
75,"[-0.21875 -0.40625  0.34375 -0.21875 -0.46875  0.46875  0.03125  0.34375
  0.40625  0.21875]",False,5
76,"[-0.3984375 -0.3828125 -0.1953125  0.1015625  0.0390625  0.4609375
 -0.0859375 -0.4453125  0.1328125 -0.1015625]",False,5
77,"[-0.2265625 -0.4921875  0.3203125  0.2734375  0.3359375  0.1640625
  0.4609375 -0.4296875 -0.2578125 -0.2734375]",False,5
78,"[-0.2734375 -0.0078125  0.1796875  0.2265625  0.1640625  0.3359375
  0.0390625 -0.0703125 -0.2421875 -0.2265625]",True,1
79,"[-0.265625  0.078125  0.203125 -0.265625  0.359375 -0.359375 -0.390625
 -0.296875  0.421875  0.265625]",False,4
80,"[-0.2578125  0.1640625  0.2265625  0.2421875 -0.4453125 -0.0546875
  0.1796875  0.4765625  0.0859375 -0.2421875]",False,5
81,[-0.25  0.25  0.25 -0.25 -0.25  0.25 -0.25  0.25 -0.25  0.25],False,5
82,"[-0.3515625  0.1328125 -0.0546875  0.1484375  0.2109375  0.2890625
  0.3359375  0.1953125  0.1171875 -0.1484375]",False,5
83,"[-0.1953125 -0.1484375  0.4140625  0.3046875  0.1171875  0.3828125
 -0.2578125 -0.3359375  0.3984375 -0.3046875]",False,4
84,"[-0.22265625  0.05078125 -0.16796875 -0.47265625 -0.06640625  0.31640625
 -0.25390625 -0.04296875  0.07421875 -0.02734375]",False,5
85,"[-0.2421875  0.3359375  0.2734375  0.2578125 -0.0546875 -0.4453125
  0.3203125  0.0234375  0.4140625 -0.2578125]",False,5
86,"[-0.3671875 -0.0390625 -0.1015625  0.1328125 -0.1796875 -0.3203125
  0.1953125 -0.3515625 -0.2109375 -0.1328125]",False,5
87,"[-0.21484375  0.13671875 -0.14453125  0.03515625  0.12890625 -0.37890625
  0.31640625 -0.26953125 -0.26171875  0.46484375]",False,5
88,"[-0.30078125  0.19140625 -0.40234375  0.44921875 -0.01953125  0.26953125
  0.04296875  0.22265625  0.43359375  0.05078125]",False,4
89,"[-0.32421875 -0.06640625 -0.47265625 -0.07421875  0.39453125  0.35546875
  0.33203125 -0.09765625  0.44140625 -0.42578125]",False,5
90,"[-0.1796875  0.0234375  0.4609375  0.3203125 -0.4921875 -0.0078125
 -0.1171875  0.2109375 -0.2734375 -0.3203125]",False,5
91,"[-0.41015625 -0.01171875  0.26953125  0.33984375  0.24609375  0.00390625
  0.05859375  0.39453125  0.13671875  0.16015625]",False,5
92,"[-0.31640625  0.01953125 -0.44921875  0.43359375 -0.41015625 -0.33984375
 -0.09765625 -0.32421875  0.10546875  0.06640625]",False,5
93,"[-0.30859375  0.10546875 -0.42578125 -0.05859375 -0.21484375 -0.03515625
  0.47265625  0.44921875 -0.23046875 -0.44140625]",False,5
94,"[-0.33203125 -0.15234375 -0.49609375  0.41796875  0.19921875  0.05078125
 -0.23828125  0.12890625 -0.22265625  0.08203125]",False,5
95,"[-0.29296875  0.27734375 -0.37890625 -0.04296875  0.17578125 -0.42578125
 -0.38671875 -0.00390625  0.09765625 -0.45703125]",False,5
96,"[-0.28515625  0.36328125 -0.35546875  0.46484375  0.37109375 -0.12109375
  0.18359375 -0.23046875 -0.23828125  0.03515625]",False,4
97,"[-0.359375  0.046875 -0.078125 -0.359375  0.015625 -0.015625 -0.234375
  0.421875  0.453125  0.359375]",False,5
98,"[-0.40234375  0.07421875  0.29296875 -0.15234375  0.44140625  0.30859375
 -0.37109375  0.16796875 -0.19921875 -0.34765625]",False,5
99,"[-0.33984375 -0.23828125  0.48046875 -0.08984375  0.00390625 -0.25390625
  0.19140625  0.35546875  0.11328125 -0.41015625]",False,5
100,"[-0.234375  0.421875  0.296875 -0.234375  0.140625 -0.140625 -0.109375
 -0.203125  0.078125  0.234375]",False,5
101,"[-0.3359375  0.3046875 -0.0078125  0.1640625 -0.3984375 -0.1015625
  0.4765625 -0.2578125  0.4453125 -0.1640625]",False,4
102,"[-0.34375  0.21875 -0.03125 -0.34375  0.40625 -0.40625 -0.09375 -0.03125
 -0.21875  0.34375]",False,5
103,"[-0.42578125 -0.18359375  0.22265625  0.32421875 -0.14453125  0.39453125
 -0.08203125 -0.15234375 -0.19140625  0.17578125]",True,1
104,"[-0.43359375 -0.26953125  0.19921875 -0.18359375 -0.33984375  0.08984375
  0.34765625  0.07421875  0.14453125 -0.31640625]",False,4
105,"[-0.41796875 -0.09765625  0.24609375 -0.16796875  0.05078125 -0.30078125
  0.48828125 -0.37890625  0.47265625 -0.33203125]",False,4
106,"[-0.44140625 -0.35546875  0.17578125  0.30859375  0.46484375 -0.21484375
 -0.22265625  0.30078125  0.48046875  0.19140625]",False,4
107,"[-0.3828125 -0.2109375 -0.1484375  0.1171875  0.4296875  0.0703125
  0.0546875  0.1015625  0.4609375 -0.1171875]",False,4
